name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
Batman: Arkham Knight,2015,Rocksteady Studios,5.58,80.66666666666667,5.566666666666666,119.0,5340.0
Batman: Arkham Origins,2013,Human Head Studios,4.79,73.0,7.525,114.0,2650.0
Batman: Arkham Origins Blackgate,2013,Armature Studio,0.7000000000000001,64.5,6.8,45.0,144.0
Batman: Arkham VR,2016,Rocksteady Studios,0.31,75.0,7.3,59.0,89.0
Batman: Dark Tomorrow,2003,HotGen,0.18,27.0,3.4000000000000004,27.0,37.0
Batman: Return to Arkham,2016,"Rocksteady Studios, Virtuos",0.38,75.0,8.35,34.0,122.0
Batman: Rise of Sin Tzu,2003,Ubisoft,0.52,64.33333333333333,7.6000000000000005,50.0,24.0
Batman: The Brave and the Bold the Videogame,2010,WayForward,0.29000000000000004,74.0,8.0,14.0,8.0
Batman: Vengeance,2001,Ubisoft,0.81,69.0,6.25,36.0,28.0
Battalion Wars,2005,Kuju Entertainment,0.4,76.0,8.8,43.0,18.0
Battalion Wars 2,2007,Kuju Entertainment,0.34,75.0,7.6,38.0,45.0
Battle Arena Toshinden,1994,Tamsoft,1.2600000000000002,69.0,6.3,4.0,4.0
Battle Assault 3 featuring Gundam Seed,2004,Natsume,0.03,48.0,8.7,9.0,7.0
Battle Engine Aquila,2003,Lost Toys,0.03,73.0,9.0,17.0,5.0
Battle Fantasia,2008,Arc System Works,0.09,71.0,6.6,22.0,8.0
Battle Princess of Arcadias,2013,ApolloSoft,0.02,69.0,7.9,22.0,25.0
BattleForge,2009,EA Phenomic,0.01,75.0,7.0,37.0,112.0
Battleborn,2016,Gearbox Software,0.5,69.33333333333333,6.966666666666666,109.0,973.0
Battlefield 1,2016,EA DICE,6.7,87.66666666666667,8.066666666666666,122.0,2386.0
Battlefield 1942,2002,Digital Illusions,0.02,89.0,8.6,27.0,327.0
Battlefield 2,2005,Digital Illusions,0.08,91.0,8.4,55.0,837.0
Battlefield 2142,2006,EA DICE,0.02,80.0,6.8,48.0,326.0
Battlefield 2: Modern Combat,2005,Digital Illusions,1.4100000000000001,79.0,8.0,145.0,173.0
Battlefield 3,2011,EA DICE,17.27,86.0,7.466666666666666,156.0,8829.0
Battlefield 4,2013,EA DICE,13.94,81.2,6.18,110.0,6698.0
Battlefield Vietnam,2004,Digital Illusions,0.02,84.0,7.5,48.0,133.0
Battlefield: Bad Company,2008,EA DICE,2.8,83.5,7.9,120.0,466.0
Battlefield: Bad Company 2,2010,EA DICE,7.140000000000001,87.66666666666667,8.466666666666667,180.0,2908.0
Battlefield: Hardline,2015,Visceral Games,3.46,71.66666666666667,4.633333333333333,104.0,1917.0
Battles of Prince of Persia,2005,Ubisoft Montreal,0.12,64.0,7.7,16.0,14.0
Battlestar Galactica,2003,Warthog,0.16,66.0,6.8,22.0,6.0
Battlestations: Midway,2007,Eidos Interactive,0.25999999999999995,74.5,7.199999999999999,75.0,86.0
Battlestations: Pacific,2009,Eidos Interactive,0.3400000000000001,75.0,7.9,79.0,87.0
Battlezone,2016,Rebellion,0.05,66.0,7.0,39.0,31.0
Bayonetta,2009,Nex Entertainment,2.13,88.5,7.85,140.0,952.0
Bayonetta 2,2014,PlatinumGames,0.76,91.0,8.2,80.0,1217.0
Beach Spikers: Virtua Beach Volleyball,2002,Sega AM2,0.1,76.0,8.1,31.0,9.0
Beat Down: Fists of Vengeance,2005,Cavia Inc.,0.17,48.0,8.1,33.0,12.0
BeatMania,2006,Konami,0.06999999999999999,67.0,8.9,30.0,11.0
Beaterator,2009,Rockstar Leeds,0.1,80.0,7.8,44.0,12.0
Beautiful Katamari,2007,Now Production,0.33,73.0,7.0,52.0,40.0
Bee Movie Game,2007,Beenox,0.61,66.0,6.966666666666666,52.0,24.0
Bejeweled 3,2010,PopCap,0.08,82.0,8.1,27.0,86.0
Bejeweled Twist,2008,PopCap,0.060000000000000005,78.0,7.3,12.0,11.0
Ben 10 Alien Force: Vilgax Attacks,2009,Papaya Studios,0.65,63.0,6.15,14.0,10.0
