,name,critic_score,critic_count,user_score,user_count
565,Mario vs. Donkey Kong: Mini-Land Mayhem!,79.0,51.0,7.7,18.0
566,Professor Layton and the Last Specter,83.0,58.0,8.7,52.0
567,Call Of Duty 2: Big Red One,77.0,39.0,8.2,69.0
568,Medal of Honor,92.0,17.0,8.6,80.0
569,Fable,85.0,87.0,8.5,268.0
570,Guitar Hero: World Tour,85.0,67.0,6.3,171.0
571,FIFA 17,84.0,50.0,5.5,201.0
573,Tom Clancy's Splinter Cell,89.0,24.0,7.7,102.0
575,Need for Speed: Shift,84.0,55.0,6.9,113.0
577,Medal of Honor Heroes,71.0,24.0,7.9,47.0
578,Final Fantasy XIII-2,79.0,53.0,6.6,707.0
579,Midnight Club: Street Racing,78.0,18.0,7.8,21.0
580,Skate 3,80.0,65.0,8,127.0
581,ESPN NFL 2K5,90.0,37.0,8.2,84.0
582,Halo Wars,82.0,92.0,7.2,454.0
583,NBA 2K12,90.0,42.0,7.7,134.0
585,FIFA Soccer 10,90.0,63.0,7.5,133.0
586,Medal of Honor,74.0,71.0,6.7,288.0
587,Harry Potter and the Chamber of Secrets,71.0,16.0,7.6,49.0
589,God of War Collection,91.0,50.0,8.7,529.0
590,NBA Live 2005,84.0,21.0,8.1,44.0
591,Mario Strikers Charged,79.0,47.0,8,124.0
592,FIFA Soccer 09,87.0,42.0,7.5,108.0
593,Style Savvy,73.0,4.0,7.7,7.0
594,WWE SmackDown vs. RAW 2007,80.0,27.0,8.6,57.0
595,LEGO Star Wars: The Complete Saga,80.0,24.0,7.4,114.0
597,Madden NFL 08,78.0,11.0,7.8,17.0
598,Monster Hunter Freedom 2,72.0,38.0,8.7,83.0
601,Sonic Adventure 2 Battle,73.0,28.0,8.3,179.0
604,Madden NFL 13,83.0,22.0,5.5,101.0
605,Dragon Age: Origins,86.0,68.0,7.9,725.0
606,Pokémon Colosseum,73.0,37.0,8,89.0
607,LittleBigPlanet,87.0,68.0,7.8,98.0
608,Madden NFL 09,83.0,50.0,7,125.0
610,Crazy Taxi,80.0,15.0,7.9,46.0
611,Art Academy,75.0,15.0,8,5.0
612,NBA 2K14,87.0,23.0,4.9,150.0
614,Skylanders Giants,78.0,8.0,7,20.0
616,Deca Sports,50.0,23.0,5.4,16.0
619,Marvel: Ultimate Alliance,82.0,68.0,7.5,120.0
621,Mortal Kombat: Deadly Alliance,79.0,31.0,8.8,96.0
622,Game Party,25.0,8.0,4.3,26.0
623,Bloodborne,92.0,100.0,8.6,6383.0
625,Mario Party 4,70.0,26.0,7.4,74.0
626,Pure,85.0,55.0,7.7,83.0
628,NBA 2K13,90.0,26.0,8,99.0
629,Saints Row: The Third,82.0,50.0,7.7,384.0
630,Resistance 2,87.0,79.0,6.1,1889.0
631,NBA 2K15,83.0,50.0,7,291.0
633,Final Fantasy Tactics,83.0,12.0,8.2,190.0
634,Midnight Club: Los Angeles,82.0,50.0,8.2,100.0
636,The Sims: Bustin' Out,81.0,26.0,8.4,42.0
638,LEGO Harry Potter: Years 1-4,79.0,13.0,8,34.0
640,Call of Duty: Infinite Warfare,78.0,17.0,3.1,290.0
641,Madden NFL 16,84.0,23.0,6.1,124.0
644,Tom Clancy's Rainbow Six: Vegas 2,82.0,66.0,7.8,176.0
647,Need for Speed Carbon: Own the City,73.0,14.0,7.9,39.0
648,Dragon Ball Z: Budokai 2,66.0,28.0,8.2,92.0
649,pro evolution soccer 2011,77.0,40.0,6.8,85.0
650,ATV Offroad Fury,82.0,16.0,8.4,53.0
652,Need for Speed: ProStreet,62.0,11.0,6.2,34.0
653,Halo: Combat Evolved Anniversary,82.0,73.0,8.1,487.0
660,Guitar Hero,91.0,65.0,8.7,173.0
661,Madden NFL 11,83.0,36.0,6.1,68.0
664,Dead Island,71.0,75.0,6.9,627.0
665,Half-Life 2,96.0,81.0,9.1,8665.0
666,The Incredibles,62.0,36.0,7.6,22.0
667,Madden NFL 08,85.0,46.0,6.4,108.0
668,Tony Hawk's Underground 2,83.0,59.0,8.8,55.0
669,Zumba Fitness,42.0,10.0,5.5,16.0
670,Madden NFL 10,85.0,41.0,6.8,58.0
672,Midnight Club: Los Angeles,81.0,66.0,8.5,142.0
675,Kinect: Disneyland Adventures,73.0,33.0,2.9,67.0
676,WWE SmackDown vs Raw 2008,71.0,11.0,7.2,31.0
677,The Legend of Zelda: Majora's Mask 3D,89.0,82.0,9,478.0
679,Resident Evil - Code: Veronica X,84.0,21.0,8.4,189.0
680,NBA 2K16,86.0,14.0,6.2,115.0
681,Kinect Sports: Season Two,66.0,46.0,6.5,39.0
685,James Bond 007: Everything or Nothing,84.0,42.0,9.1,51.0
686,Need For Speed: High Stakes,86.0,14.0,8.5,28.0
688,Guild Wars 2,90.0,69.0,7.9,2954.0
690,Paper Mario: Sticker Star,75.0,69.0,5.6,382.0
692,Batman: Arkham Origins,76.0,46.0,7.7,668.0
695,LEGO Star Wars: The Complete Saga,80.0,18.0,6.7,87.0
696,Need for Speed Underground 2,77.0,35.0,8.7,27.0
697,Pro Evolution Soccer 2010,78.0,42.0,6.7,76.0
699,FIFA Soccer 09,82.0,8.0,6.9,20.0
700,LEGO Harry Potter: Years 1-4,72.0,7.0,7.2,6.0
